"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 23 17:30:26 CST 2022","Fri Sep 23 17:30:27 CST 2022","1052","TestCase.test_tian_chi_cloud.test_node_management","test_node_management_page","TestTianChiNodeManagementExample","","","test_new_add_node",""
"passed","Fri Sep 23 17:30:17 CST 2022","Fri Sep 23 17:30:22 CST 2022","4975","TestCase.test_tian_chi_cloud.test_cloud_pass_configure_init","test_cloud_pass_configure_init","TestTianChiNodeManagement","","","test_config_cloud_pass_serverip",""
